"Quantity","n (2005-2006)","n (2015-2016)"
"Number of disciplines",101,107
"Number of journals",1192,2116
"Number of papers",151652,276879
"Number of authors",647634,1311213
"Median number of papers per journal",87,87
"Median number of authors per journal",371,413
"Median number of authors per paper",4,4
