"journal","n.useable.papers","n.authors","gender.ratio.of.sample","observed.alpha","lower.95.CI","upper.95.CI","alpha.adjusted","lower.95.CI2","upper.95.CI2","two.tail.p.value"
"ACS Appl Mater Interfaces",76,228,23.2456140350877,0.0412938005390836,-0.129833863582318,0.231460674157303,0.0491644204851751,-0.127284207012014,0.228027956623779,0.555
"ANZ J Surg",52,156,15.3846153846154,0.0151515151515152,-0.111337468501648,0.139705882352941,0.0492424242424243,-0.0878443638741123,0.17379679144385,1
"Acad Med",68,204,48.0392156862745,0.11628802464382,-0.0428240740740741,0.268847257752543,0.117828263380824,-0.0380751458783805,0.271586016900405,0.122
"Acta Crystallogr E Crystallogr Commun",91,273,16.8498168498169,0.163378663091362,0.039345985691574,0.282305358948433,0.183010917448765,0.0551219084499981,0.319070907124043,0.011
"Adv Exp Med Biol",131,393,39.9491094147583,0.0878225197020404,-0.0193833665923024,0.194611799954873,0.0954604339846701,-0.0172593238137936,0.200172765895709,0.084
"Am J Emerg Med",79,237,25.3164556962025,-0.00423728813559321,-0.123632962878066,0.12635212450207,0,-0.121751839007276,0.117455601544069,1
"Am J Med",57,171,15.7894736842105,-0.0115740740740742,-0.143518518518518,0.120482008592911,0,-0.112861953864634,0.110496618920532,1
"Am J Obstet Gynecol",56,168,47.6190476190476,0.0931818181818181,-0.0720363017583664,0.261800141743444,0.0954545454545454,-0.0708171211512972,0.23941653350962,0.3
"Am J Public Health",53,159,51.5723270440252,0.0430788723471651,-0.119718309859155,0.200568694579305,0.050364269876465,-0.125193234949333,0.201967258877828,0.63
"Anal Bioanal Chem",80,240,39.1666666666667,-0.0142815505683475,-0.148573127443149,0.111449181384605,0,-0.126820051362748,0.114758977152196,0.89
"Anal Chem",116,348,28.1609195402299,0.147755102040816,0.0234545149941364,0.265912133382013,0.149142857142857,0.0229624790130667,0.262606115106067,0.006
"Angew Chem Int Ed Engl",187,561,22.9946524064171,0.0537252368647717,-0.0242735277217796,0.130715078241573,0.0604005167958657,-0.0175982477906857,0.142628411225134,0.246
"Ann Thorac Surg",66,198,13.1313131313131,0.158765652951699,0.0284090909090908,0.271001323276906,0.177101967799642,0.0492098088238464,0.295302606982774,0.022
"Appetite",68,204,74.0196078431373,0.184305885293015,-0.00152623257076064,0.352776082977425,0.203923528676746,0.0180726421292129,0.37007877645356,0.009
"Appl Microbiol Biotechnol",59,177,34.4632768361582,0.0244488411531938,-0.109022556390977,0.155975423728813,0.0250141322781232,-0.118078776671681,0.168514009073647,0.873
"Appl Opt",76,228,11.8421052631579,-0.00829187396351572,-0.113244206773618,0.104285714285714,0,-0.103903247987704,0.109769706475831,1
"Arch Bronconeumol",61,183,46.448087431694,0.0553421368547419,-0.0931899641577061,0.209284310983244,0.065906362545018,-0.0698559212098091,0.202075242219905,0.461
"Asian Pac J Cancer Prev",59,177,46.8926553672316,0.0244809023327351,-0.129979570990807,0.163190062322052,0.0226864906434248,-0.132640309977069,0.162030157846219,0.739
"BMC Bioinformatics",61,183,16.9398907103825,0.0290747028862479,-0.147425622523215,0.223636363636364,0.0388370118845501,-0.136298297062304,0.231213271828575,0.809
"BMC Health Serv Res",56,168,54.1666666666667,0.112887112887113,-0.0530827147886787,0.261911820063994,0.11988011988012,-0.0469534349145999,0.277886797548162,0.164
